               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10556,            0.027707,            0.028334,             0.61142,             0.14869,             0.15156,            0.035828,            0.078744,            0.020283,           0.0093264,            0.070556,           0.0032716,           0.0032716
                   1,            0.072482,            0.018443,           0.0077447,             0.65442,             0.36833,              0.3499,             0.11803,            0.072846,            0.011807,           0.0044496,            0.040534,           0.0065831,           0.0065831
                   2,            0.065944,            0.014631,           0.0067649,             0.66417,             0.52229,             0.48912,             0.16529,            0.059379,             0.01288,           0.0046189,             0.01049,           0.0098727,           0.0098727
                   3,            0.057881,             0.01342,           0.0047509,             0.64376,             0.76381,             0.70121,              0.2602,            0.056943,            0.014707,           0.0030071,            0.009901,            0.009901,            0.009901
                   4,            0.052141,            0.012388,           0.0033473,             0.54451,             0.66727,             0.58789,             0.18457,            0.061059,            0.012361,           0.0030678,            0.009901,            0.009901,            0.009901
                   5,            0.049769,            0.012318,           0.0029465,             0.63296,             0.78841,             0.65541,             0.26312,            0.048262,            0.010255,           0.0016742,            0.009868,            0.009868,            0.009868
                   6,            0.048045,            0.012059,           0.0026465,             0.69816,             0.70567,              0.7295,              0.2957,            0.045706,           0.0098057,           0.0038697,            0.009835,            0.009835,            0.009835
                   7,            0.046795,            0.012135,           0.0020697,             0.66789,             0.70987,             0.73131,             0.27671,            0.050304,            0.010017,           0.0037958,            0.009802,            0.009802,            0.009802
                   8,            0.045201,            0.011936,           0.0023031,             0.72341,             0.79463,             0.81348,             0.31038,            0.046513,           0.0098154,           0.0052851,            0.009769,            0.009769,            0.009769
                   9,            0.044295,            0.011744,           0.0018961,             0.75997,             0.79187,             0.80084,             0.33053,            0.043716,            0.009575,           0.0020247,            0.009736,            0.009736,            0.009736
                  10,              0.0435,            0.011638,           0.0016056,             0.82557,             0.83841,             0.85804,             0.34609,            0.044626,           0.0095073,           0.0011974,            0.009703,            0.009703,            0.009703
                  11,            0.043373,            0.011673,           0.0016924,             0.82142,             0.81352,             0.85334,             0.32915,            0.046416,           0.0092397,           0.0010391,             0.00967,             0.00967,             0.00967
                  12,            0.042424,            0.011597,           0.0011914,             0.80129,             0.79354,             0.83003,             0.35365,            0.042473,           0.0091297,           0.0014446,            0.009637,            0.009637,            0.009637
                  13,            0.042236,            0.011465,           0.0014128,             0.93307,             0.88657,             0.93328,             0.43029,            0.041433,           0.0091125,          0.00092344,            0.009604,            0.009604,            0.009604
                  14,            0.042052,            0.011093,           0.0010363,             0.86217,             0.81271,             0.87624,               0.355,            0.048365,           0.0094708,          0.00077405,            0.009571,            0.009571,            0.009571
                  15,            0.041868,            0.011446,           0.0013623,              0.8211,             0.82412,             0.85482,             0.38793,            0.040347,           0.0092554,           0.0031285,            0.009538,            0.009538,            0.009538
                  16,            0.041524,            0.011362,           0.0014511,             0.82136,             0.87448,             0.90906,             0.40932,            0.040288,           0.0090177,           0.0010754,            0.009505,            0.009505,            0.009505
                  17,            0.041062,            0.011329,          0.00086028,             0.89665,             0.87558,             0.90738,             0.40489,            0.041203,           0.0093351,           0.0007205,            0.009472,            0.009472,            0.009472
                  18,            0.040741,             0.01133,           0.0012959,             0.87314,             0.87262,             0.91207,             0.38909,            0.041492,           0.0096919,          0.00097459,            0.009439,            0.009439,            0.009439
                  19,            0.040266,            0.011087,           0.0011382,             0.83484,             0.80077,             0.85736,             0.37345,            0.040275,           0.0091581,             0.00092,            0.009406,            0.009406,            0.009406
                  20,            0.040883,            0.011386,           0.0011086,             0.86373,             0.81853,             0.87776,             0.37828,            0.040288,           0.0090169,           0.0011199,            0.009373,            0.009373,            0.009373
                  21,            0.040317,            0.011302,           0.0008695,             0.88083,             0.88244,             0.93078,             0.43721,            0.039785,           0.0090452,          0.00067634,             0.00934,             0.00934,             0.00934
                  22,            0.040427,            0.011035,           0.0012491,             0.82971,             0.86746,             0.87284,             0.37941,            0.039851,           0.0091322,           0.0010374,            0.009307,            0.009307,            0.009307
                  23,             0.04006,            0.011047,          0.00098915,             0.91242,             0.84316,             0.91861,             0.43825,            0.038972,           0.0089979,           0.0014143,            0.009274,            0.009274,            0.009274
                  24,            0.040187,            0.011073,          0.00093217,             0.85284,             0.85428,             0.88702,             0.40944,              0.0387,           0.0089455,           0.0011283,            0.009241,            0.009241,            0.009241
                  25,            0.039867,            0.010976,          0.00093351,              0.6432,             0.75662,             0.65058,              0.2959,            0.041705,           0.0093889,           0.0077008,            0.009208,            0.009208,            0.009208
                  26,            0.039749,            0.011191,           0.0010377,             0.88607,             0.84883,             0.89884,             0.41438,            0.040449,           0.0091233,           0.0012223,            0.009175,            0.009175,            0.009175
                  27,            0.039579,            0.011254,           0.0007773,             0.90722,             0.90595,             0.93712,             0.45619,            0.039113,           0.0091009,           0.0005063,            0.009142,            0.009142,            0.009142
                  28,            0.039448,            0.011052,          0.00079283,             0.89948,             0.87137,             0.92604,              0.4172,            0.039985,           0.0091569,          0.00067565,            0.009109,            0.009109,            0.009109
                  29,            0.039562,            0.011067,          0.00098216,             0.89471,             0.80455,             0.88405,             0.39504,            0.040669,           0.0096669,           0.0020369,            0.009076,            0.009076,            0.009076
                  30,            0.039602,             0.01125,          0.00093207,             0.89228,              0.8726,             0.92878,             0.42219,             0.03848,           0.0089617,          0.00079482,            0.009043,            0.009043,            0.009043
                  31,            0.039501,            0.010863,          0.00072843,             0.89065,              0.8725,               0.927,             0.41827,            0.039923,           0.0089703,          0.00072687,             0.00901,             0.00901,             0.00901
                  32,            0.038974,            0.011067,          0.00060021,             0.91863,             0.89157,             0.93652,             0.43568,            0.039252,           0.0088783,          0.00040753,            0.008977,            0.008977,            0.008977
                  33,            0.038771,             0.01091,          0.00075428,             0.89129,             0.87574,             0.90864,             0.41463,            0.038967,           0.0092102,          0.00049881,            0.008944,            0.008944,            0.008944
                  34,            0.039164,            0.011109,          0.00094541,             0.88152,             0.89988,             0.93814,             0.45157,            0.038191,           0.0089238,          0.00064464,            0.008911,            0.008911,            0.008911
                  35,            0.038953,             0.01115,          0.00052328,             0.94117,              0.9004,             0.95191,             0.46915,            0.038406,           0.0089235,          0.00037866,            0.008878,            0.008878,            0.008878
                  36,            0.038846,            0.010919,          0.00050894,             0.89615,             0.85668,             0.91413,             0.42758,            0.039025,           0.0089436,          0.00043306,            0.008845,            0.008845,            0.008845
                  37,            0.038709,            0.010851,          0.00052552,             0.87825,             0.88545,             0.90843,             0.42006,            0.038314,           0.0088617,          0.00054761,            0.008812,            0.008812,            0.008812
                  38,            0.038497,            0.010789,          0.00061579,             0.89807,             0.90638,             0.93143,             0.45199,            0.038451,           0.0088767,          0.00040126,            0.008779,            0.008779,            0.008779
                  39,            0.038608,            0.011012,          0.00075467,             0.90137,             0.88227,             0.92661,             0.42119,            0.039417,           0.0091159,          0.00037328,            0.008746,            0.008746,            0.008746
                  40,            0.038253,            0.010878,          0.00059098,             0.92641,              0.8726,             0.93442,             0.45225,            0.038577,           0.0089385,          0.00045163,            0.008713,            0.008713,            0.008713
                  41,            0.038842,            0.010721,          0.00093079,             0.82284,             0.79275,             0.87917,             0.43569,            0.038272,           0.0089618,           0.0020359,             0.00868,             0.00868,             0.00868
                  42,            0.038396,            0.010861,          0.00054892,             0.92891,               0.847,             0.92025,             0.44076,            0.038278,           0.0090209,          0.00043546,            0.008647,            0.008647,            0.008647
                  43,            0.038491,            0.010704,          0.00046696,             0.81055,             0.87524,             0.88265,             0.42647,            0.038384,           0.0089103,          0.00040421,            0.008614,            0.008614,            0.008614
                  44,            0.038141,            0.010871,          0.00060592,             0.90932,             0.87736,             0.93941,             0.46855,            0.037788,           0.0088136,          0.00050726,            0.008581,            0.008581,            0.008581
                  45,            0.038337,            0.010978,           0.0006089,             0.88632,             0.88537,             0.92303,             0.45176,            0.037947,           0.0089805,          0.00041466,            0.008548,            0.008548,            0.008548
                  46,            0.038344,            0.010821,          0.00049466,             0.84086,             0.89323,             0.91688,             0.39647,            0.039685,           0.0090471,          0.00050125,            0.008515,            0.008515,            0.008515
                  47,            0.038388,            0.010785,          0.00047027,              0.9204,             0.89863,             0.92533,             0.45107,            0.038986,           0.0091596,          0.00034787,            0.008482,            0.008482,            0.008482
                  48,            0.037937,            0.010538,          0.00056032,             0.91202,             0.91937,             0.94369,             0.46624,            0.037637,           0.0088295,          0.00048102,            0.008449,            0.008449,            0.008449
                  49,            0.037729,            0.010687,          0.00058248,             0.82076,             0.88873,             0.89048,             0.42553,            0.038163,           0.0089177,           0.0012036,            0.008416,            0.008416,            0.008416
                  50,            0.037587,            0.010719,          0.00042576,             0.87385,             0.88406,             0.90773,             0.42903,            0.038167,           0.0089139,          0.00031851,            0.008383,            0.008383,            0.008383
                  51,            0.037856,            0.010809,          0.00043559,              0.9196,             0.87309,             0.93657,             0.46021,            0.037651,           0.0087715,          0.00036335,             0.00835,             0.00835,             0.00835
                  52,            0.037505,            0.010688,          0.00040949,             0.90961,             0.90158,              0.9413,             0.46076,            0.038191,           0.0088433,          0.00047884,            0.008317,            0.008317,            0.008317
                  53,            0.037408,            0.010786,          0.00037191,             0.91314,              0.9111,             0.94958,             0.46574,            0.037675,           0.0089305,          0.00031688,            0.008284,            0.008284,            0.008284
                  54,            0.037228,            0.010449,          0.00044455,             0.91002,             0.89903,             0.94347,             0.45318,            0.037793,           0.0089004,          0.00043626,            0.008251,            0.008251,            0.008251
                  55,            0.037725,             0.01103,           0.0006282,             0.88074,             0.91912,             0.93719,             0.47141,            0.037702,           0.0087934,          0.00057315,            0.008218,            0.008218,            0.008218
                  56,             0.03778,            0.010822,          0.00083026,              0.8614,             0.88194,             0.90446,             0.41594,            0.039846,           0.0091069,          0.00088417,            0.008185,            0.008185,            0.008185
                  57,            0.037763,            0.010976,           0.0007736,             0.89735,             0.89382,             0.93757,             0.44918,            0.037856,           0.0088414,          0.00046901,            0.008152,            0.008152,            0.008152
                  58,            0.037731,            0.010574,          0.00057217,             0.91132,             0.90074,             0.93912,              0.4623,            0.037889,           0.0088814,          0.00040323,            0.008119,            0.008119,            0.008119
                  59,            0.037381,            0.010813,          0.00044225,             0.92373,             0.89857,             0.94472,             0.47238,            0.037803,           0.0089551,          0.00027862,            0.008086,            0.008086,            0.008086
                  60,            0.037324,             0.01093,          0.00037202,             0.91905,             0.89484,             0.94856,             0.45471,            0.037679,            0.008831,          0.00040246,            0.008053,            0.008053,            0.008053
                  61,             0.03716,            0.010698,          0.00048003,             0.93185,              0.9222,             0.95016,             0.46671,            0.037061,           0.0087651,          0.00025429,             0.00802,             0.00802,             0.00802
                  62,            0.037077,            0.010803,          0.00039725,             0.89581,             0.92597,               0.944,             0.45092,            0.038523,            0.008916,          0.00029431,            0.007987,            0.007987,            0.007987
                  63,            0.037206,             0.01058,          0.00038336,             0.89982,             0.90133,             0.94464,             0.46748,             0.03789,           0.0089252,          0.00044204,            0.007954,            0.007954,            0.007954
                  64,            0.036872,            0.010426,          0.00067079,              0.9053,             0.88845,             0.93304,             0.45349,             0.03842,           0.0090053,          0.00032083,            0.007921,            0.007921,            0.007921
                  65,            0.036633,            0.010814,          0.00051845,             0.92887,             0.89388,              0.9448,              0.4579,            0.037924,           0.0089926,          0.00026631,            0.007888,            0.007888,            0.007888
                  66,            0.036767,            0.010755,          0.00045213,             0.90528,             0.90476,             0.93825,             0.46468,            0.037431,           0.0087505,          0.00035615,            0.007855,            0.007855,            0.007855
                  67,            0.036699,            0.010681,          0.00037605,             0.92292,             0.90929,             0.94782,             0.47891,            0.037241,           0.0087949,          0.00027249,            0.007822,            0.007822,            0.007822
                  68,            0.036967,            0.010733,          0.00032387,             0.89634,             0.89556,             0.93201,             0.45281,            0.037866,           0.0089754,          0.00025535,            0.007789,            0.007789,            0.007789
                  69,            0.036797,            0.010397,          0.00033793,             0.90439,             0.92995,             0.95194,             0.46808,             0.03762,           0.0088704,          0.00025501,            0.007756,            0.007756,            0.007756
                  70,            0.036659,            0.010613,          0.00031811,              0.9181,             0.91343,             0.95125,             0.46807,            0.037533,           0.0087833,          0.00026821,            0.007723,            0.007723,            0.007723
                  71,            0.036411,            0.010566,          0.00032654,             0.90783,             0.92194,             0.94803,             0.46895,            0.037486,           0.0088436,          0.00023656,             0.00769,             0.00769,             0.00769
                  72,            0.036271,            0.010731,          0.00030805,             0.90844,             0.89498,             0.93649,             0.45073,            0.038223,           0.0089813,          0.00044554,            0.007657,            0.007657,            0.007657
