               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11323,            0.087309,                   0,             0.12263,              0.2522,            0.075897,            0.016273,            0.096193,            0.059373,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.087069,            0.091688,                   0,             0.16063,             0.38563,             0.15019,            0.038524,            0.082792,             0.07597,                   0,            0.066688,           0.0036878,           0.0036878
                   2,            0.075139,            0.082437,                   0,             0.11056,             0.71994,             0.11232,            0.036557,            0.081066,            0.078669,                   0,            0.049563,            0.005563,            0.005563
                   3,            0.075662,            0.075159,                   0,             0.22511,             0.41496,             0.23618,            0.057404,            0.080006,            0.047063,                   0,            0.032426,           0.0074258,           0.0074258
                   4,            0.072376,            0.068436,                   0,             0.21381,             0.69062,             0.23845,            0.083674,            0.075818,            0.047953,                   0,            0.015276,           0.0092759,           0.0092759
                   5,            0.071876,            0.073933,                   0,             0.46424,             0.77377,             0.58533,              0.2234,            0.066507,            0.043911,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.065187,            0.067941,                   0,              0.5096,             0.72141,             0.65123,             0.29731,            0.056564,            0.042838,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.057804,            0.070617,                   0,             0.79685,             0.83431,             0.88625,             0.36443,            0.045742,            0.041613,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.053774,            0.068614,                   0,              0.8116,             0.80792,             0.88937,             0.38563,            0.046108,            0.040201,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.050519,            0.057785,                   0,             0.77006,             0.77126,             0.85715,             0.40498,             0.04113,             0.03587,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.046134,            0.061387,                   0,             0.80949,             0.81525,             0.89931,             0.58935,            0.038887,            0.039314,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.045853,            0.063286,                   0,             0.85861,             0.88153,             0.95227,             0.55906,            0.032777,            0.036112,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.039303,            0.067068,                   0,             0.95202,             0.93548,             0.97586,             0.57751,            0.032294,            0.037422,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.039456,            0.060283,                   0,             0.94771,             0.92669,             0.97186,             0.63448,            0.032802,            0.036627,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.038311,            0.066128,                   0,             0.83627,             0.90469,             0.92818,             0.55994,            0.031461,            0.035035,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.037743,            0.063603,                   0,             0.95473,             0.93255,             0.97451,              0.6709,             0.02702,            0.032093,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.038838,            0.057679,                   0,             0.95337,             0.94135,             0.97917,              0.5898,            0.033612,            0.033085,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.039043,            0.061738,                   0,             0.96701,             0.90255,             0.97073,             0.73567,             0.02884,            0.032931,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.035745,            0.055686,                   0,              0.9697,             0.93695,              0.9751,             0.65742,            0.027063,            0.031896,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035369,            0.065497,                   0,             0.95992,             0.94811,             0.98049,             0.68506,            0.028292,            0.032111,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.036325,            0.055899,                   0,             0.97296,             0.91935,             0.97492,             0.61758,              0.0317,             0.03447,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034791,            0.053743,                   0,             0.89337,             0.93361,             0.96479,             0.68543,             0.02632,            0.031857,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.033181,            0.057457,                   0,             0.96246,             0.94721,             0.98109,             0.70879,            0.024966,            0.031453,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033912,            0.054467,                   0,             0.94939,             0.93515,             0.97085,             0.68577,            0.032272,            0.033637,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.03469,              0.0525,                   0,             0.97077,             0.92536,             0.97854,             0.67524,            0.029931,            0.033508,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.03343,            0.060463,                   0,              0.9634,             0.93255,             0.97741,             0.74293,            0.025704,            0.032364,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.031475,            0.058815,                   0,             0.97231,             0.93548,             0.98035,             0.72259,            0.026083,            0.034045,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.030611,             0.05329,                   0,             0.96884,             0.93109,              0.9781,             0.68485,            0.025571,            0.033543,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.033031,            0.055704,                   0,             0.96234,             0.94575,             0.97805,             0.65394,            0.030524,            0.033489,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.032908,            0.061459,                   0,             0.97542,              0.9309,             0.97827,              0.7515,            0.024287,            0.031181,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.030972,             0.05722,                   0,             0.97894,             0.93842,             0.97753,             0.74395,            0.023245,             0.03204,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.029859,            0.057081,                   0,             0.97565,             0.94282,             0.97672,              0.7001,            0.028769,            0.034461,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.031958,            0.059612,                   0,             0.96412,             0.94572,             0.98012,             0.68062,            0.028062,            0.032491,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030419,            0.057735,                   0,             0.96134,             0.94805,             0.97667,             0.72393,            0.023273,            0.032851,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.026379,            0.050306,                   0,             0.96651,             0.93101,             0.97824,             0.76239,            0.022427,            0.032689,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.028578,            0.050785,                   0,               0.965,             0.92815,             0.97812,             0.74509,            0.023461,            0.032677,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.028985,            0.054533,                   0,             0.96278,             0.92669,             0.97833,             0.76671,            0.022414,            0.030839,                   0,            0.008845,            0.008845,            0.008845
                  37,              0.0287,            0.052032,                   0,             0.95771,             0.95455,             0.98392,               0.763,            0.022373,            0.031303,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.026794,            0.053698,                   0,             0.96879,             0.93695,             0.98034,             0.74578,            0.022752,            0.030912,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.028541,            0.051339,                   0,             0.96141,             0.94868,             0.98128,             0.73297,            0.023811,            0.031676,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.028908,            0.051169,                   0,             0.96751,             0.92962,              0.9773,             0.74862,            0.022571,            0.031661,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.029049,            0.053861,                   0,              0.9623,             0.93564,             0.97599,              0.7611,            0.023418,             0.03088,                   0,             0.00868,             0.00868,             0.00868
