               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092505,            0.024934,            0.022119,             0.57384,             0.36069,             0.24222,            0.071222,            0.064975,            0.013178,           0.0079977,             0.07014,           0.0033178,           0.0033178
                   1,             0.06738,             0.01564,           0.0068553,             0.69728,             0.53837,             0.44861,             0.15221,            0.055071,            0.010984,           0.0069699,            0.040008,           0.0065194,           0.0065194
                   2,            0.062144,            0.013681,           0.0062949,             0.75834,             0.53596,             0.50579,             0.19379,            0.053442,            0.010542,            0.006458,           0.0097448,            0.009589,            0.009589
                   3,            0.055839,            0.013103,           0.0055101,             0.85938,             0.54265,             0.58283,               0.201,            0.051496,           0.0098685,           0.0044501,            0.009406,            0.009406,            0.009406
                   4,            0.052156,            0.012468,           0.0046604,              0.6041,             0.84106,             0.86208,             0.34123,            0.044159,            0.010509,           0.0039716,            0.009406,            0.009406,            0.009406
                   5,            0.049198,            0.012315,           0.0036699,             0.73617,             0.68981,             0.77996,             0.32299,            0.043199,           0.0096139,           0.0036631,            0.009208,            0.009208,            0.009208
                   6,            0.047398,             0.01196,           0.0030465,              0.8469,             0.81276,             0.88242,             0.37335,            0.044149,           0.0096416,           0.0018772,             0.00901,             0.00901,             0.00901
                   7,            0.045491,            0.011766,           0.0022927,             0.83689,             0.83584,             0.87646,             0.38419,            0.040376,           0.0093733,           0.0015159,            0.008812,            0.008812,            0.008812
                   8,             0.04481,            0.011665,           0.0020486,             0.79192,             0.87301,             0.86703,             0.36804,            0.041924,           0.0094009,           0.0013285,            0.008614,            0.008614,            0.008614
                   9,              0.0438,            0.011597,           0.0017535,             0.81905,             0.82229,             0.85412,             0.35706,            0.042933,           0.0093525,           0.0014357,            0.008416,            0.008416,            0.008416
                  10,            0.043009,            0.011518,           0.0018778,             0.88454,             0.87425,             0.91958,             0.42218,            0.039315,           0.0090801,          0.00088259,            0.008218,            0.008218,            0.008218
                  11,            0.042705,            0.011608,           0.0014594,             0.80101,             0.85641,             0.84883,             0.38042,            0.042161,           0.0091251,           0.0010695,             0.00802,             0.00802,             0.00802
                  12,            0.042573,            0.011644,           0.0015897,              0.8324,             0.83404,              0.8602,             0.37958,            0.039833,            0.009162,           0.0019963,            0.007822,            0.007822,            0.007822
                  13,            0.041875,              0.0114,           0.0014355,             0.89823,             0.86553,             0.91292,             0.42833,            0.039877,           0.0091696,          0.00076316,            0.007624,            0.007624,            0.007624
                  14,            0.041162,            0.011538,           0.0012962,             0.90374,              0.8644,             0.91832,             0.40137,            0.040899,           0.0092219,          0.00069409,            0.007426,            0.007426,            0.007426
                  15,            0.041024,            0.011423,           0.0012622,             0.91467,             0.90153,             0.92963,              0.4471,            0.038095,           0.0090406,          0.00075094,            0.007228,            0.007228,            0.007228
                  16,            0.040734,            0.011125,           0.0010653,             0.89735,             0.87022,             0.92197,             0.42621,            0.038748,           0.0091232,          0.00067684,             0.00703,             0.00703,             0.00703
                  17,            0.041014,            0.011401,           0.0010815,             0.88494,              0.8844,             0.91322,             0.41713,             0.03845,           0.0089039,          0.00066394,            0.006832,            0.006832,            0.006832
                  18,            0.039754,            0.011194,          0.00096326,              0.9163,             0.88901,             0.92743,             0.43365,            0.038226,           0.0090215,          0.00049577,            0.006634,            0.006634,            0.006634
                  19,            0.040422,            0.011291,          0.00088338,             0.88918,             0.88796,             0.91053,             0.42552,            0.038155,           0.0088467,          0.00053526,            0.006436,            0.006436,            0.006436
