               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10977,            0.037529,            0.041147,             0.44129,             0.26259,             0.13549,              0.0306,            0.094728,            0.023802,            0.029918,            0.070385,           0.0032906,           0.0032906
                   1,            0.080646,            0.028455,            0.023742,             0.47565,             0.44189,             0.23633,            0.068727,            0.074546,            0.020061,            0.017299,            0.040253,           0.0064928,           0.0064928
                   2,            0.076332,             0.02507,            0.016717,              0.4692,             0.40349,             0.28934,            0.088099,            0.072906,            0.019749,            0.015751,           0.0099903,            0.009563,            0.009563
                   3,            0.070773,            0.023908,            0.014069,             0.53249,             0.47336,             0.34534,             0.10814,            0.068447,            0.026411,            0.012348,            0.009406,            0.009406,            0.009406
                   4,            0.062627,            0.023957,            0.012846,             0.76617,             0.54887,             0.59498,             0.21183,            0.053872,            0.020491,            0.012346,            0.009406,            0.009406,            0.009406
                   5,            0.058542,             0.02313,            0.011861,             0.74407,             0.53526,             0.57509,             0.18302,            0.057821,            0.018864,            0.011683,            0.009208,            0.009208,            0.009208
                   6,            0.054867,            0.023398,            0.011726,              0.8242,             0.56114,             0.70228,             0.27364,            0.050669,            0.019471,            0.010628,             0.00901,             0.00901,             0.00901
                   7,            0.053502,            0.024042,            0.011032,             0.81901,             0.55614,             0.68077,             0.24169,            0.051581,            0.020197,            0.012871,            0.008812,            0.008812,            0.008812
                   8,             0.05198,            0.022764,            0.010601,             0.83882,             0.56811,              0.6989,             0.25943,            0.049042,            0.019255,            0.011057,            0.008614,            0.008614,            0.008614
                   9,            0.050705,            0.022448,           0.0097867,             0.56372,             0.70959,             0.67676,             0.25755,             0.05048,            0.019529,            0.010911,            0.008416,            0.008416,            0.008416
                  10,            0.050018,            0.022829,           0.0091728,             0.73393,             0.72575,              0.7419,             0.30489,            0.046492,            0.018862,            0.010035,            0.008218,            0.008218,            0.008218
                  11,            0.049347,            0.022764,           0.0083725,             0.73243,             0.72454,             0.75244,             0.30566,            0.046408,            0.018404,           0.0083061,             0.00802,             0.00802,             0.00802
                  12,            0.047739,            0.022391,           0.0078393,             0.74128,             0.69186,             0.74001,             0.29394,            0.046143,            0.018419,           0.0093965,            0.007822,            0.007822,            0.007822
                  13,            0.047343,            0.021828,           0.0076564,             0.77529,             0.68628,             0.74892,             0.27324,            0.048688,            0.018156,           0.0071139,            0.007624,            0.007624,            0.007624
                  14,            0.047645,             0.02158,           0.0077126,             0.77207,             0.77326,              0.7901,             0.31778,            0.045833,            0.018534,           0.0072026,            0.007426,            0.007426,            0.007426
                  15,            0.045649,            0.022154,           0.0073187,             0.78938,             0.75296,             0.77863,             0.31718,            0.045085,            0.018233,           0.0078514,            0.007228,            0.007228,            0.007228
                  16,            0.045826,            0.021014,           0.0070444,             0.71425,             0.74425,             0.78378,              0.3183,            0.047233,            0.018238,           0.0081092,             0.00703,             0.00703,             0.00703
