epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
1,0.56882718,0.90835957,0.05952855,0.56914167,0.90867615,0.05983988,True,704.25,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
2,0.56853547,0.90818665,0.05905865,0.56913091,0.90873781,0.05972051,True,704.28,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
3,0.5685819,0.90825216,0.05907644,0.56918488,0.91016666,0.05771215,False,700.88,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
4,0.56858648,0.90829747,0.05901993,0.56918665,0.90848901,0.06023304,False,787.98,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
5,0.5685594,0.90822016,0.0590682,0.56909684,0.90926826,0.05883964,True,706.43,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
6,0.56849858,0.90813405,0.05904531,0.56912464,0.90877942,0.05964242,False,705.42,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
7,0.56861121,0.90833456,0.05902612,0.56911269,0.90887738,0.05946558,False,703.97,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
8,0.56859009,0.90827817,0.05905792,0.56913619,0.90982635,0.05810089,False,705.69,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
9,0.56857569,0.90828494,0.05901176,0.56915396,0.90861601,0.05996083,False,704.61,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
10,0.5686761,0.90842774,0.05904858,0.56916158,0.91001712,0.05787822,False,704.37,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
11,0.56855471,0.90824058,0.05902583,0.56910348,0.90898768,0.05927712,False,702.89,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
